ESATAN 2016 sp2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;T604;T654;T706;T1043;T3000;T3012;T5013;T5014;T13012;T14014;T20044;T22043;T24012;T26012;T28012;T29012;T30045;T41102;T70100;T73507;T80037;T80062;T80137;T80162;T80237;T80262;T80337;T80362;T81062;T82000;T82100
TIME;Antenne oben;Antenne unten;Kassette oben;S-Band Mitte;Top Panel PCB Ecke;Top Panel PCB Mitte;Side Panel oben (Auﬂenseite);Hinge-Node auf Side Panel;Flap-Panel oben;Hinge-Node auf Flappanel;EPS Mitte;UHF/VHF Mitte (nahe Hot Spot);ADCS Mitte;CDH Mitte;Bat Board 2 Mitte;BAT Board 1 Mitte;BAT Motherboard Mitte;Alu-Rail Mitte;groﬂe SC auf Toppanel ;Side Panel Solarzelle Mitte ;BAT_1_1 (unten Mitte);BAT_1_1 (oben Mitte);BAT_1_2 (unten Mitte);BAT_1_2 (oben Mitte);BAT_2_1 (unten Mitte);BAT_2_1 (oben Mitte);BAT_2_2 (unten Mitte);BAT_2_2 (oben Mitte);SC 1 auf Flappanel (Mitte);lange Antenne;kurze Antenne
0,00;-29,90;-31,96;-27,90;14,69;31,63;42,57;10,79;28,17;29,31;28,21;30,79;29,30;29,00;37,55;30,48;30,53;30,44;26,15;42,05;11,14;30,48;30,51;30,49;30,52;30,44;30,46;30,44;30,48;29,19;-31,84;-31,79
63,74;-29,49;-31,50;-27,51;14,76;31,70;42,70;10,80;28,29;29,45;28,33;30,81;29,33;29,03;37,60;30,48;30,53;30,43;26,23;42,18;11,23;30,47;30,50;30,48;30,52;30,43;30,46;30,44;30,47;29,35;-31,61;-31,44
127,48;-29,08;-31,05;-27,12;14,84;31,78;42,83;10,82;28,42;29,59;28,46;30,83;29,36;29,06;37,66;30,47;30,52;30,43;26,31;42,31;11,32;30,46;30,50;30,48;30,51;30,43;30,45;30,43;30,46;29,51;-31,37;-31,09
191,22;-28,68;-30,60;-26,74;14,92;31,86;42,96;10,85;28,55;29,73;28,58;30,85;29,39;29,09;37,72;30,47;30,52;30,43;26,39;42,44;11,41;30,46;30,49;30,47;30,51;30,42;30,45;30,43;30,46;29,66;-31,12;-30,72
254,96;-28,30;-30,17;-26,36;15,00;31,94;43,08;10,88;28,68;29,88;28,71;30,87;29,43;29,12;37,78;30,47;30,51;30,42;26,46;42,56;11,51;30,46;30,49;30,47;30,50;30,42;30,45;30,43;30,46;29,82;-30,87;-30,36
318,70;-27,93;-29,75;-26,00;15,08;32,03;43,20;10,92;28,81;30,02;28,85;30,89;29,46;29,16;37,84;30,46;30,51;30,42;26,54;42,68;11,60;30,45;30,49;30,47;30,50;30,42;30,44;30,43;30,46;29,98;-30,60;-29,99
382,44;-27,57;-29,35;-25,66;15,17;32,11;43,32;10,96;28,94;30,16;28,98;30,91;29,50;29,19;37,90;30,46;30,51;30,42;26,61;42,81;11,69;30,45;30,49;30,47;30,50;30,42;30,44;30,43;30,46;30,13;-30,34;-29,63
446,18;-27,24;-28,98;-25,33;15,26;32,20;43,44;11,01;29,07;30,31;29,11;30,93;29,54;29,23;37,95;30,46;30,51;30,42;26,67;42,93;11,78;30,45;30,49;30,47;30,50;30,42;30,44;30,43;30,46;30,29;-30,07;-29,27
509,92;-26,94;-28,63;-25,03;15,35;32,29;43,56;11,06;29,21;30,45;29,25;30,96;29,58;29,27;38,01;30,47;30,52;30,42;26,74;43,05;11,87;30,46;30,49;30,47;30,51;30,42;30,44;30,43;30,46;30,44;-29,80;-28,92
573,66;-26,65;-28,31;-24,75;15,43;32,38;43,68;11,11;29,34;30,59;29,38;30,98;29,62;29,31;38,07;30,47;30,52;30,43;26,80;43,16;11,95;30,46;30,49;30,47;30,51;30,42;30,45;30,43;30,46;30,59;-29,53;-28,57
637,40;-26,40;-28,02;-24,49;15,52;32,48;43,80;11,17;29,47;30,73;29,51;31,01;29,66;29,35;38,13;30,47;30,52;30,43;26,86;43,28;12,04;30,46;30,50;30,48;30,51;30,43;30,45;30,44;30,47;30,73;-29,26;-28,24
701,14;-26,17;-27,76;-24,26;15,60;32,57;43,91;11,23;29,60;30,87;29,65;31,04;29,71;29,38;38,19;30,48;30,53;30,43;26,91;43,40;12,11;30,47;30,50;30,48;30,52;30,43;30,46;30,44;30,47;30,88;-29,00;-27,92
764,88;-25,98;-27,54;-24,06;15,67;32,67;44,03;11,29;29,73;31,01;29,78;31,06;29,75;29,43;38,25;30,48;30,53;30,44;26,97;43,51;12,18;30,47;30,51;30,49;30,52;30,44;30,46;30,45;30,48;31,02;-28,74;-27,62
828,62;-25,81;-27,36;-23,89;15,75;32,76;44,14;11,35;29,86;31,15;29,91;31,09;29,79;29,47;38,31;30,49;30,54;30,45;27,02;43,63;12,25;30,48;30,51;30,49;30,53;30,44;30,47;30,45;30,48;31,15;-28,49;-27,34
892,36;-25,68;-27,21;-23,76;15,82;32,86;44,26;11,42;29,99;31,28;30,03;31,12;29,84;29,51;38,36;30,50;30,55;30,45;27,07;43,74;12,31;30,49;30,52;30,50;30,54;30,45;30,47;30,46;30,49;31,28;-28,25;-27,08
956,10;-25,57;-27,10;-23,65;15,89;32,96;44,38;11,48;30,12;31,42;30,17;31,15;29,88;29,55;38,42;30,50;30,55;30,46;27,12;43,86;12,37;30,49;30,53;30,51;30,54;30,46;30,48;30,47;30,50;31,42;-28,00;-26,83
