ESATAN 2016 sp2;  MODEL MOVE_II_3_1_CASE_182;  TIME 18 December  2016  22:12:17
 
TIME,T604,T654,T706,T1043,T3000,T3012,T5013,T5014,T13012,T14014,T20044,T22043,T24012,T26012,T28012,T29012,T30045,T41102,T70100,T73507,T80037,T80062,T80137,T80162,T80237,T80262,T80337,T80362,T81062,T82000,T82100,
 0.000000000000000E+00,-2.848872734065553E+01,-3.055399446398668E+01,-2.644991311841491E+01,1.635763545045367E+01,3.324562254588649E+01,4.419673756729993E+01,1.257140711919785E+01,2.951494825073518E+01,3.046967865883382E+01,2.953877316244341E+01,3.271435004827871E+01,3.103146092015520E+01,3.084023689421145E+01,3.938323474418399E+01,3.275469218799346E+01,3.280289448674831E+01,3.270774606893555E+01,2.784907399396993E+01,4.367933045405252E+01,1.302865142807667E+01,3.274568674344397E+01,3.277814266646337E+01,3.275893896422492E+01,3.279211239212621E+01,3.270358179070717E+01,3.273313630478795E+01,3.270582630469974E+01,3.274551947081041E+01,3.037361855651393E+01,-3.023726451951169E+01,-3.030691108425836E+01,
 6.374000167846680E+01,-2.809300191666133E+01,-3.011149900653246E+01,-2.607002253963498E+01,1.642319146274531E+01,3.331694279696165E+01,4.432159104166998E+01,1.258243152438309E+01,2.963511882543003E+01,3.060555610647776E+01,2.965928166045544E+01,3.272116033904623E+01,3.105212703516613E+01,3.086030817406583E+01,3.943379913059623E+01,3.273666197389365E+01,3.278504676210619E+01,3.268985722806523E+01,2.792451241032606E+01,4.380481588431760E+01,1.311326125923196E+01,3.272751843552091E+01,3.276010357067443E+01,3.274108968323286E+01,3.277438514172790E+01,3.268566648862254E+01,3.271500168848548E+01,3.268873250631822E+01,3.272776731592371E+01,3.052698891937679E+01,-3.001817315936324E+01,-2.997238614703202E+01,
 1.274800033569336E+02,-2.770096585304808E+01,-2.967277388337787E+01,-2.569454834112579E+01,1.648960273992582E+01,3.338967142861082E+01,4.444285902436089E+01,1.259888844447884E+01,2.975661138378082E+01,3.074189369659878E+01,2.978108741826187E+01,3.272963201198914E+01,3.107519450363782E+01,3.088229725551894E+01,3.948464628721189E+01,3.271998107886620E+01,3.276855839789522E+01,3.267331896704248E+01,2.799799547643502E+01,4.392814802174664E+01,1.319996779159650E+01,3.271070112841961E+01,3.274341992169335E+01,3.272458247548709E+01,3.275800055960133E+01,3.266909970892654E+01,3.269822088046737E+01,3.267296430651505E+01,3.271135887223981E+01,3.068107376694406E+01,-2.979165720291206E+01,-2.963024917238869E+01,
 1.912200050354004E+02,-2.731751119211739E+01,-2.924234845388007E+01,-2.532618469770477E+01,1.656206085462915E+01,3.346310489507358E+01,4.456271411714122E+01,1.262144880948659E+01,2.988044434353355E+01,3.087952488114653E+01,2.990525106027892E+01,3.273965117549081E+01,3.110039288056757E+01,3.090611646517546E+01,3.953556714534538E+01,3.270462352338127E+01,3.275338871285045E+01,3.265810567109056E+01,2.806934566799319E+01,4.404953697213373E+01,1.328820242281184E+01,3.269521169727459E+01,3.272806054308059E+01,3.270939011206848E+01,3.274292169832019E+01,3.265385742535245E+01,3.268276768553525E+01,3.265849415755468E+01,3.269626297540290E+01,3.083539911658486E+01,-2.955720918192527E+01,-2.928255067722291E+01,
 2.549600067138672E+02,-2.694618852498717E+01,-2.882367315663712E+01,-2.496745795915646E+01,1.663682219121453E+01,3.353934447970171E+01,4.468082625995182E+01,1.265031053425735E+01,3.000598385817441E+01,3.101822577569130E+01,3.003120356457226E+01,3.275113923676616E+01,3.112758141066621E+01,3.093160890272621E+01,3.958655331265710E+01,3.269055651141768E+01,3.273950812057409E+01,3.264418718413437E+01,2.813833682886544E+01,4.416908996490064E+01,1.337725838227923E+01,3.268102017906261E+01,3.271399524462046E+01,3.269547903571205E+01,3.272912581357300E+01,3.263991019107893E+01,3.266861236998064E+01,3.264527594940616E+01,3.268244494533843E+01,3.098945754658509E+01,-2.931591791914165E+01,-2.893157923264237E+01,
 3.187000083923340E+02,-2.659020582737383E+01,-2.842001297374333E+01,-2.462151496070559E+01,1.671294679913655E+01,3.361847121914690E+01,4.479738644903795E+01,1.268382810777776E+01,3.013294076372206E+01,3.115762677246353E+01,3.015863050212132E+01,3.276402551898909E+01,3.115656230987186E+01,3.095854515777244E+01,3.963759516859411E+01,3.267774281791428E+01,3.272688225333785E+01,3.263152528358053E+01,2.820486408612237E+01,4.428693170181165E+01,1.346605643031560E+01,3.266809279821091E+01,3.270119112660807E+01,3.268281085976965E+01,3.271657497639624E+01,3.262722290500017E+01,3.265572071094307E+01,3.263327078949030E+01,3.266986478061805E+01,3.114280972525183E+01,-2.906915076940313E+01,-2.857980243185532E+01,
 3.824400100708008E+02,-2.625202417219922E+01,-2.803615636049762E+01,-2.429066145179213E+01,1.678972185223331E+01,3.369982917541213E+01,4.491308621172998E+01,1.272292493752020E+01,3.026131895238063E+01,3.129752874363431E+01,3.028746325257178E+01,3.277817365775859E+01,3.118718701739679E+01,3.098660834000098E+01,3.968870787191391E+01,3.266614847942757E+01,3.271547696367654E+01,3.262008476663333E+01,2.826880733140382E+01,4.440317476709244E+01,1.355373525081750E+01,3.265639550888854E+01,3.268961485264174E+01,3.267135174018109E+01,3.270523391065230E+01,3.261576000846989E+01,3.264405834307014E+01,3.262244745273414E+01,3.265848898239967E+01,3.129501499720990E+01,-2.881861098329914E+01,-2.823005628617672E+01,
 4.461800117492676E+02,-2.593507243962135E+01,-2.767542151765305E+01,-2.397604387073321E+01,1.687156485314643E+01,3.378275518456650E+01,4.502770208148515E+01,1.276619461452430E+01,3.039059034422613E+01,3.143747762784169E+01,3.041732483524258E+01,3.279344756549432E+01,3.121920931047475E+01,3.101588213721089E+01,3.973982295019587E+01,3.265573466997320E+01,3.270525494094176E+01,3.260982815557551E+01,2.832999881885866E+01,4.451798333532589E+01,1.363967178593882E+01,3.264588765729385E+01,3.267922928824995E+01,3.266106172981865E+01,3.269506148512423E+01,3.260548096113659E+01,3.263358400807890E+01,3.261275318887059E+01,3.264827694851709E+01,3.144541641811013E+01,-2.856442253814023E+01,-2.788502879801152E+01,
 5.099200134277344E+02,-2.564131862618751E+01,-2.734038446403711E+01,-2.368449694836425E+01,1.695497375277461E+01,3.386693431826235E+01,4.514105568326446E+01,1.281282991167998E+01,3.052007529489538E+01,3.157753723978099E+01,3.054746398262438E+01,3.280987227165378E+01,3.125244334013845E+01,3.104630064962527E+01,3.979098089654046E+01,3.264646385418235E+01,3.269617383095320E+01,3.260072039281540E+01,2.838836362124615E+01,4.463150059308744E+01,1.372316227549816E+01,3.263653722143900E+01,3.266999318770834E+01,3.265190409902280E+01,3.268601713877531E+01,3.259635750368393E+01,3.262426812254608E+01,3.260417691755807E+01,3.263919553834485E+01,3.159349124140016E+01,-2.830827774039690E+01,-2.754666379770310E+01,
 5.736600151062012E+02,-2.537210601693523E+01,-2.703388981861757E+01,-2.341683067787384E+01,1.703355190392387E+01,3.395314609176821E+01,4.525344221944155E+01,1.286255733003982E+01,3.064894610206368E+01,3.171723222897918E+01,3.067711949929952E+01,3.282744344610589E+01,3.128689008775638E+01,3.107757115825479E+01,3.984224095713986E+01,3.263831762437600E+01,3.268821505402570E+01,3.259274226287723E+01,2.844393404623888E+01,4.474397743324036E+01,1.380338624501688E+01,3.262832326560470E+01,3.266188948780515E+01,3.264386121175320E+01,3.267808257942070E+01,3.258836788129244E+01,3.261608882328483E+01,3.259669798605806E+01,3.263122745472034E+01,3.173900701562890E+01,-2.805304397646038E+01,-2.721761862004570E+01,
